Name,Description,Website
$EARTH,$EARTH is a currency for the solarpunk paradigm backed by climate solutions.,https://solarpunkdao.earth/
$REGEN,$REGEN is the culture coin for optimists.,https://www.regen.tips/
$RVRS,RVRS is an impact token that incentivises climate action.,https://reverseclimatechange.com/
Aera Force,Aera Force is a VC DAO investing in the collective ReFi future.,https://www.aeraforce.xyz/
AgriLedger,AgriLedger is a blended finance Fintech at the forefront of transforming global food systems.,https://agriledger.io/
AgroforestDAO,"AgroforestDAO is weaving the global tribe for food, forest and culture.",https://agroforestdao-ptbr.web.app/
ALLCOT IO,ALLCOT IO helps companies in leveraging the latest technology to develop carbon projects that benefit local communities and the environment.,https://www.allcot.io/
Allegory Labs,Allegory Labs is an investment company that invests and builds at the intersection of Web3 and climate.,https://allegory.earth/
Alternun,Alternun transforms mining reserves into ReDeFi-focused projects through digital exploitation.,https://alternun.io/
Aluxes,Aluxes protects tropical rainforests through conservation economies using Web3 technology.,https://aluxes.club/
Ama Earth Group,Ama Earth Group is nature regeneration subscription service.,https://www.amaearthgroup.com/
Anu Initiative,Anu Initiative is a community-driven organisation where anyone can transparently contribute to restoring Mother Nature.,https://anuinitiative.org/
AquaSave,AquaSave is a decentralised and sustainable community of blue projects.,https://aquasave.io/
Arbitrum,Arbitrum is a protocol that makes Ethereum transactions faster and cheaper.,https://arbitrum.foundation/
Arkreen,Arkreen is a Web3-powered digital infrastructure network for global distributed renewable energy resources.,https://arkreen.com/
Artifact Labs,"Artifact Labs is committed to the preservation and connection of art, culture, and history on the blockchain.",https://www.artifactlabs.com/
Artizen Fund,Artizen Fund is raising $1B to support artists of every kind.,https://www.artizen.fund/
Astral,Astral develops open source tools and infrastructure so you can easily build location-based dapps.,https://astral.global/
Atem,Atem empowers companies of all sizes to fully participate in combating climate change.,https://atem.earth/
Atlantis,"Atlantis is a peer-to-peer impact network for builders, entrepreneurs and creators from climate and social impact sector.",https://www.atlantians.world/
AYA,AYA is an climate-focused Web3 launchpad and incubator by Enjinstarter.,https://aya.foundation/
AYOWECCA Uganda,AYOWECCA Uganda tackles both social and environmental challenges affecting Ugandans in their everyday life.,https://ayoweccauganda.org/
Azos Finance,Azos is a third-generation decentralised stablecoin platform that serves as the liquidity engine for regenerative investments.,https://azos.finance/
BASIN,"BASIN uses land ownership, carbon markets, and an emerging eco-credit class to create absolute returns and climate resilience.",https://www.basin.global/
Beach Collective,"The Beach Collective is a blue circular economy platform, funding clean oceans and blue carbon with every transaction.",https://www.beachcollective.io/
BioCarbon Registry,BioCarbon Registry creates incentives for climate change mitigation actions and biodiversity conservation commitment.,https://biocarbonregistry.com/en/
BioFi Project,"The BioFi Project is a collective supporting bioregions to design, build, and implement Bioregional Financing Facilities that connect financial resources and regenerators.",https://www.biofi.earth/
Biota Nexus,Biota Nexus is a global open market for biodiversity credits.,https://biota.land/
Bitgreen,"Bitgreen is an innovation platform that builds solutions for sustainability, impact and decarbonization.",https://bitgreen.org/
BlockBima,"BlockBima is creating a new generation of insurance products using the power of satellite data, AI and blockchain technologies.",https://blockbima.com/
Bloom Network,Bloom Network is a cyber-physical social network for grassroots climate action.,https://bloomnetwork.earth/
Bluebell Index,Bluebell Index aims to mitigate the consequences of climate change and lead the transition to a low-carbon economy.,https://bluebellindex.com/
C3,C3’s suite of web3-enabled products increase access to the carbon market.,https://www.c3.app/
Canopy Collective,Canopy Collective hopes to develop a socially regenerative network in the field of wildlife research and conservation in northeast India.,https://www.canopycollective.in/
CARBON Copy,"CARBON Copy is the preeminent source of ReFi news, information, and analysis.",https://carboncopy.news/
Carbon Counting Club,Carbon Counting Club counts geologically stable carbon added to its gardens and sells NFTs to fund trees.,https://www.carbon-counting-club.com/
Carbon Crowd,"Carbon Crowd is on a mission to decarbonise the digital economy by providing real-time carbon analytics for cloud networks, blockchains and IoT devices.",https://carboncrowd.io/
Carbon.Credit,Carbon.Credit is a primary marketplace and advanced secondary market exchange for carbon credits and energy-related contracts.,https://carbon.credit/
Carbon.fyi,Carbon.fyi estimates the CO2 footprint of an Ethereum address or ENS domain.,https://carbon.fyi/
Carbonable,"Carbonable is the platform for planning, managing and reporting every carbon contribution with ease and guaranteed authenticity.",https://www.carbonable.io/
Carbonmark,"Carbonmark is a universal marketplace for buying, selling, and retiring digital carbon credits from projects worldwide.",https://www.carbonmark.com/
Carbonpath,"Carbonpath is fighting climate change by validating the shutdown of low-producing oil and gas wells, preventing millions of tons of emissions from polluting the air.",https://www.carbonpath.io/
Cascadia Carbon,Cascadia Carbon is leading the way in sustainable carbon solutions by tokenizing trees & allowing users earn crypto as they grow.,https://cascadiacarbon.com/
Celo,"Celo is the carbon-negative, mobile-first, EVM-compatible blockchain ecosystem.",https://celo.org/
Centigrade,"Centigrade creates the fundamental data integrity and transparency required by all actors in the carbon and nature markets - from project owners to communities, governments, buyers, and validation and verification bodies.",https://www.centigrade.earth/
Cerulean Ventures,"Cerulean invests in founders building software and asset-light companies for decarbonization, for a nature-positive economy.",https://cerulean.vc/
Changeblock,"Changeblock is transforming the carbon markets, instilling integrity and value in environmental assets.",https://changeblock.com/
ChangeCode,ChangeCode is developing the building blocks for the every economy.,https://changecode.io/
Chatafisha,Chatafisha is building infrastructure to transparently verify and actualize positive social impact.,https://chatafisha.com/
Circles,Circles is fair money for all.,https://www.aboutcircles.com/
CleanApp,Global coordination game for waste & hazard mapping,https://www.cleanapp.io/
Cleanify,Cleanify rewards people for keeping the world clean from trash and litter.,https://cleanify.vet/daily
Climafi,Climafi is taking carbon removal credits into the future.,https://climafi.org/
Climate Chain Coalition,CCC is a global coalition combining a Human chain collaborating and advancing Blockchain with Digital Innovations to achieve ambitious climate goals.,https://climatechaincoalition.org/
